,Magnet_X,Magnet_Y,Magnet_Z,Pose_X,Pose_Y,Pose_Z,Tx_1,Ty_1,Tz_1,Tx_2,Ty_2,Tz_2,Tx_3,Ty_3,Tz_3,Tx_4,Ty_4,Tz_4,Tx_5,Ty_5,Tz_5,Tx_6,Ty_6,Tz_6,Tx_7,Ty_7,Tz_7,Tx_8,Ty_8,Tz_8,Tx_9,Ty_9,Tz_9,Tx_10,Ty_10,Tz_10,Tx_11,Ty_11,Tz_11,Tx_12,Ty_12,Tz_12,Tx_13,Ty_13,Tz_13,Tx_14,Ty_14,Tz_14,Tx_15,Ty_15,Tz_15,Tx_16,Ty_16,Tz_16
2389,-0.015,-0.075,0.078,0,0,1,42.60952366,-22.82177974,-24.96916347,16.24544376,-1.775563014,-10.37482675,-2.456224448,13.33862251,3.632453352,15.10259062,8.50499067,-105.8779128,15.91881659,5.287610283,-0.622076285,25.79278791,37.91899227,-112.3078883,1.299984486,31.20922877,-7.944950248,-6.111060364,8.599534455,-25.62351353,53.91805043,-15.01950356,-3.658896406,83.02109614,91.0462428,-59.90374674,-36.09328016,115.672455,-226.9513179,-57.39291422,36.76989779,-38.99328744,76.45738285,-21.32119984,2.881074486,139.9659071,-62.35175712,-147.8870577,-71.82171746,-69.83894445,-282.609729,-68.1037971,-24.47983384,-45.8356989
2390,-0.03,-0.075,0.078,0,0,1,42.12435098,-23.87757449,-24.81055036,17.16866632,-3.033466717,-10.97937873,-1.403801617,13.31743351,3.387124602,15.30575029,9.54022246,-105.99718,14.18378208,1.764069655,0.161155597,27.05418279,31.673071,-110.3082626,8.323217871,32.97544532,-8.259798712,-6.248896657,14.93402286,-27.51825053,44.47072471,-20.11230287,-0.198428895,77.59572582,68.33719666,-32.6063594,6.179621407,125.678814,-239.2874766,-68.74438062,54.7749864,-58.09350459,61.76994678,-18.82451674,9.048883325,124.0208355,-47.08734874,-92.39761157,1.765044211,-77.764776,-311.2847511,-91.61497359,-34.63470351,-80.8048353
2391,-0.045,-0.075,0.078,0,0,1,41.93686523,-24.72447526,-25.29137671,17.54253096,-4.557570024,-10.88116161,0.031417004,13.43547334,3.177830889,16.14919087,10.82594544,-106.0660147,12.23191935,-0.740815142,0.19828535,26.78880259,25.67436019,-108.4678081,14.60622226,31.91411647,-8.471077429,-5.258122241,21.19317652,-29.87592422,37.94575046,-23.68416097,1.714617089,65.87992448,50.87638904,-16.29122776,48.06523804,117.7944064,-230.2163194,-75.56812803,76.65544919,-85.22273703,51.33943423,-17.04119301,10.9730731,101.1287721,-37.67676297,-57.0806493,74.55984673,-72.94988191,-284.4103382,-108.4333966,-50.55197171,-133.3435064
2392,-0.06,-0.075,0.078,0,0,1,41.81317444,-25.40668494,-25.5997922,16.92449021,-6.101981755,-10.45151735,0.984956124,12.61754409,3.658773549,17.14303064,11.57964175,-105.2592625,10.79770427,-2.492514623,-0.160123724,25.07842763,20.53396106,-107.0341323,19.98383352,27.36744244,-6.191598421,-1.473373109,26.51680425,-31.30591789,32.86948074,-26.10777318,1.909252845,52.54123499,38.97136323,-5.354089433,74.54363214,96.19650358,-201.218044,-67.43955435,102.2258778,-115.9248927,44.39923278,-15.47126116,11.92186816,80.19273477,-30.75892959,-38.16709311,115.7633163,-54.92305996,-218.5483902,-103.7777526,-67.49047597,-203.5977125
2393,-0.075,-0.075,0.078,0,0,1,41.41033795,-26.12088874,-25.47189734,17.37007305,-6.756066752,-11.21616509,2.000205627,12.22684979,3.552022152,17.79340238,12.48933338,-105.8013395,9.675410379,-3.470683375,-0.780344804,23.62578761,16.45829775,-107.5026449,22.72074641,23.11039433,-6.33347961,2.736285279,31.50168579,-33.67072931,29.91194165,-27.55982321,1.345360227,42.90902686,30.98798625,-1.047817266,82.12252751,71.28390905,-173.3004967,-44.30396899,122.4080321,-145.7111098,38.96714456,-15.57463541,11.01786897,64.19208911,-28.53789053,-29.75371107,120.2070874,-40.17776789,-152.091531,-63.50833173,-87.17319768,-266.0053273
2394,-0.09,-0.075,0.078,0,0,1,41.21784295,-26.34425502,-26.12677181,17.34365692,-7.796568479,-11.3019712,2.787356163,11.10383186,3.336314693,19.06429124,12.8766123,-105.6576098,8.194349513,-4.710566776,-0.737369421,21.66089906,13.04620724,-107.2271553,24.03418342,16.2018462,-3.776801682,9.735436998,32.93333741,-34.68519541,26.98214981,-28.47295727,0.75123933,33.505951,26.06849077,2.276653762,75.83745396,47.8658627,-145.8501677,-1.746346468,131.2440263,-157.2136408,35.6370998,-14.78993364,11.33676242,51.95585367,-25.80716016,-24.27702603,104.4424471,-24.95688746,-99.60488362,12.94046576,-91.85728175,-294.9050018
2395,0.09,-0.09,0.078,0,0,1,38.24033275,-18.86410543,-24.35329739,10.32570233,-5.237097425,-11.07121624,-4.657126928,5.252889609,2.277640676,17.13085527,1.822024211,-106.8464438,3.042512031,26.31973106,-4.888004937,-0.728633191,25.81095677,-108.3377988,-1.351732602,-4.303809757,0.362852173,4.574203923,-10.93174661,-26.04685359,18.27283059,85.80574763,-77.79880904,-44.54540271,65.78134697,-22.72268731,-16.11787692,4.798619083,-106.2861516,-8.448922813,5.17820265,-20.04640045,7.385615964,-15.21203106,-335.7997085,-91.68377988,-25.28661213,-93.71025399,-28.80807457,2.593172209,-35.04460803,4.486359771,-8.026156776,-11.59631476
2396,0.075,-0.09,0.078,0,0,1,38.98401286,-19.21226795,-24.31941154,11.2275042,-4.583364589,-10.68753385,-4.175380874,6.093633682,2.738037068,17.09087062,2.468372651,-106.8760934,7.203576803,25.26349711,-4.018799224,0.566015369,29.5842318,-108.6197439,-2.026349721,-1.883444014,0.274672545,3.752095611,-9.825166628,-26.00981933,45.68814975,78.92669964,-69.54074361,-45.37102023,84.67142674,-35.29911629,-21.75373562,9.796924021,-107.7884708,-10.58453008,6.427767824,-19.51880005,104.5711255,-12.67288426,-303.3415162,-111.0480373,-24.28396575,-151.5629682,-41.2484057,3.280930213,-40.17829619,1.052722665,-7.902087882,-11.47564175
2397,0.06,-0.09,0.078,0,0,1,39.42649274,-19.73837933,-24.45710659,11.81588333,-4.324064925,-10.81218898,-3.890664612,6.402263146,3.640413543,16.35296136,2.75985423,-105.9867304,10.32622946,22.23983471,-2.42269904,3.281208872,32.81030942,-109.1480636,-2.450205165,0.694178693,0.454299534,3.421723412,-8.516080033,-25.39446779,63.85931776,62.69647801,-54.33309829,-38.43432696,104.3782293,-49.98125986,-29.25332947,17.12473337,-110.9759992,-12.96730173,7.88344524,-19.14983648,160.0790279,-11.12556544,-222.614524,-110.1694499,-23.18218212,-229.4072539,-57.51999295,3.825050211,-49.54991182,-3.244295068,-7.657545923,-10.6878611
2398,0.045,-0.09,0.078,0,0,1,40.2273701,-20.25656375,-24.48869824,12.70405586,-3.269481029,-10.90527286,-3.78163415,7.248689766,3.255610598,16.43726216,3.511341734,-106.0096749,12.71782886,18.69146717,-2.037514544,6.252789365,35.52356159,-109.939434,-3.539369329,4.496756019,0.045832875,2.175749176,-6.867770367,-25.22894866,71.53937599,41.39230902,-37.64632065,-20.80467298,120.8136498,-64.91813547,-36.99351137,27.57590465,-117.191134,-16.6915193,9.861861434,-19.38601944,169.3948126,-13.26036897,-138.4221736,-68.51084059,-25.05128839,-307.139311,-78.95627478,3.460685629,-68.59261722,-9.587848426,-7.550187289,-11.06277408
